year,state,state_code,region,hotels_5star,rooms_5star,hotels_4star,rooms_4star,hotels_3star,rooms_3star,hotels_2star,rooms_2star,hotels_1star,rooms_1star,hotels_orchid,rooms_orchid,hotels_unrated,rooms_unrated,total_hotels,total_rooms,luxury_room_share_pct,midscale_room_share_pct,budget_room_share_pct
2019,Selangor,MY-10,Central,17,6718,15,4167,35,5263,20,1235,6,515,23,906,85,4958,201,23762,45.81,22.15,32.04
2019,Terengganu,MY-11,East Coast,4,727,6,970,18,2120,15,949,6,233,40,1263,107,3393,196,9655,17.58,21.96,60.46
2019,W.P. Kuala Lumpur,MY-14,Central,32,13225,32,9990,35,8696,19,1638,17,1247,15,559,90,9429,240,44784,51.84,19.42,28.74
2019,W.P. Labuan,MY-15,East Malaysia,1,136,1,111,4,421,5,251,4,92,4,60,21,678,40,1749,14.12,24.07,61.81
2019,W.P. Putrajaya,MY-16,Central,2,388,2,600,0,0,0,0,0,0,1,38,0,0,5,1026,96.3,0.0,3.7
2020,Johor,MY-01,Southern,6,1743,20,6575,43,6870,35,2525,21,1337,47,1649,310,10367,482,31066,26.78,22.11,51.11
2020,Kedah,MY-02,Northern,10,1812,10,1858,18,2775,19,1486,5,237,8,265,105,4721,175,13154,27.9,21.1,51.0
2020,Kelantan,MY-03,East Coast,2,570,3,507,9,912,8,402,4,121,23,643,42,1205,91,4360,24.7,20.92,54.38
2020,Melaka,MY-04,Southern,6,1833,14,4304,35,4425,22,949,12,546,35,972,48,3900,172,16929,36.25,26.14,37.61
2020,Pahang,MY-06,East Coast,6,2839,14,3232,23,9624,17,1100,7,230,46,1339,187,7011,300,25375,23.93,37.93,38.14
2020,Perak,MY-08,Northern,2,187,9,1975,19,2526,28,1672,15,748,58,1637,196,7453,327,16198,13.35,15.59,71.06
2020,Perlis,MY-09,Northern,0,0,1,145,2,193,4,163,5,189,7,129,13,426,32,1245,11.65,15.5,72.85
2020,Pulau Pinang,MY-07,Northern,13,3717,23,6392,24,3215,19,1553,13,443,30,1371,108,5397,230,22088,45.77,14.56,39.67
2020,Sabah,MY-12,East Malaysia,9,3698,15,3064,44,4298,43,2561,31,1349,130,2976,136,4603,408,22549,29.99,19.06,50.95
2020,Sarawak,MY-13,East Malaysia,3,913,15,3835,34,3995,14,947,18,981,90,2354,200,6929,374,19954,23.79,20.02,56.19
2020,Selangor,MY-10,Central,17,6718,16,3506,35,5131,20,1197,6,515,23,835,83,4800,200,22702,45.04,22.6,32.36
2020,Terengganu,MY-11,East Coast,4,727,7,988,22,2140,17,967,7,251,45,1330,139,4315,241,10718,16.0,19.97,64.03
2020,W.P. Kuala Lumpur,MY-14,Central,30,12532,30,9289,33,8174,19,1638,17,1247,15,559,80,7458,224,40897,53.36,19.99,26.65
2020,W.P. Labuan,MY-15,East Malaysia,1,136,1,111,4,421,5,251,4,107,5,82,21,589,41,1697,14.56,24.81,60.63
2020,W.P. Putrajaya,MY-16,Central,3,678,1,453,1,382,0,0,0,0,0,0,2,256,7,1769,63.93,21.59,14.48
2021,Johor,MY-01,Southern,6,1743,20,6575,43,6870,35,2525,21,1337,47,1649,310,10367,482,31066,26.78,22.11,51.11
2021,Kedah,MY-02,Northern,10,1812,10,1858,18,2775,19,1486,5,237,8,265,105,4721,175,13154,27.9,21.1,51.0
2021,Kelantan,MY-03,East Coast,2,570,3,507,9,912,8,402,4,121,23,643,42,1205,91,4360,24.7,20.92,54.38
2021,Melaka,MY-04,Southern,6,1833,14,4304,36,4527,22,949,12,546,35,972,48,3900,173,17031,36.03,26.58,37.39
2021,Negeri Sembilan,MY-05,Central,4,1766,7,2139,11,903,12,754,11,665,19,564,77,2605,141,9396,41.56,9.61,48.83
2021,Pahang,MY-06,East Coast,6,2839,14,3232,23,9624,17,1100,7,230,46,1339,188,7163,301,25527,23.78,37.7,38.52
2021,Perak,MY-08,Northern,2,187,9,1975,20,2626,28,1672,15,748,58,1652,197,7478,329,16338,13.23,16.07,70.7
2021,Perlis,MY-09,Northern,0,0,1,145,2,193,4,163,5,189,7,129,13,426,32,1245,11.65,15.5,72.85
2021,Pulau Pinang,MY-07,Northern,13,3717,23,6392,24,3215,19,1553,13,443,30,1371,111,5715,233,22406,45.12,14.35,40.53
2021,Sabah,MY-12,East Malaysia,9,3698,15,3064,44,4298,43,2561,31,1349,130,2976,137,4853,409,22799,29.66,18.85,51.49
2021,Sarawak,MY-13,East Malaysia,3,913,15,3835,34,3995,14,947,18,981,90,2354,201,7089,375,20114,23.61,19.86,56.53
2021,Selangor,MY-10,Central,18,7018,16,3506,35,5131,20,1197,6,515,23,835,83,4800,201,23002,45.75,22.31,31.94
2021,Terengganu,MY-11,East Coast,4,727,7,988,22,2140,17,967,7,251,45,1330,139,4315,241,10718,16.0,19.97,64.03
2021,W.P. Kuala Lumpur,MY-14,Central,30,12532,30,9289,33,8174,19,1638,17,1247,15,559,80,7458,224,40897,53.36,19.99,26.65
2021,W.P. Labuan,MY-15,East Malaysia,1,136,1,111,4,421,5,251,4,107,5,82,21,589,41,1697,14.56,24.81,60.63
2021,W.P. Putrajaya,MY-16,Central,3,678,1,453,1,382,0,0,0,0,0,0,2,256,7,1769,63.93,21.59,14.48
2022,Johor,MY-01,Southern,6,1743,20,6575,43,6870,35,2525,21,1337,47,1649,314,11092,486,31791,26.16,21.61,52.23
2022,Kedah,MY-02,Northern,10,1812,10,1858,18,2775,19,1486,5,237,8,265,106,4818,176,13251,27.7,20.94,51.36
2022,Kelantan,MY-03,East Coast,2,570,3,507,9,912,8,402,4,121,23,643,42,1205,91,4360,24.7,20.92,54.38
2022,Melaka,MY-04,Southern,7,2117,14,4304,36,4527,22,949,12,546,35,972,50,4640,176,18055,35.56,25.07,39.37
2022,Negeri Sembilan,MY-05,Central,4,1766,7,2139,12,990,12,754,11,668,19,564,78,2661,143,9542,40.92,10.38,48.7
2022,Pahang,MY-06,East Coast,6,2839,13,3136,24,9694,17,1100,7,230,46,1339,189,7263,302,25601,23.34,37.87,38.79
2022,Perak,MY-08,Northern,2,187,9,1990,20,2626,28,1673,15,747,58,1650,198,7578,330,16451,13.23,15.96,70.81
2022,Perlis,MY-09,Northern,0,0,1,145,2,193,4,163,5,189,7,129,13,426,32,1245,11.65,15.5,72.85
2022,Pulau Pinang,MY-07,Northern,14,4170,25,6562,24,3215,19,1553,13,443,30,1371,114,5871,239,23185,46.29,13.87,39.84
2022,Sabah,MY-12,East Malaysia,10,3819,15,3064,44,4298,46,2669,31,1349,130,2976,139,5227,415,23402,29.41,18.37,52.22
2022,Sarawak,MY-13,East Malaysia,3,913,15,3835,34,3995,14,947,18,981,90,2354,209,7362,383,20387,23.29,19.6,57.11
2022,Selangor,MY-10,Central,18,7278,17,3607,35,5270,20,1197,6,515,23,835,86,5499,205,24201,44.98,21.78,33.24
2022,Terengganu,MY-11,East Coast,4,727,7,988,22,2140,17,967,7,251,46,1358,142,4378,245,10809,15.87,19.8,64.33
2022,W.P. Kuala Lumpur,MY-14,Central,31,12850,38,11022,33,8174,19,1638,17,1247,15,559,93,10086,246,45576,52.38,17.93,29.69
2022,W.P. Labuan,MY-15,East Malaysia,1,136,1,111,4,421,5,251,4,107,5,82,21,589,41,1697,14.56,24.81,60.63
2022,W.P. Putrajaya,MY-16,Central,3,678,1,453,1,382,0,0,0,0,0,0,2,256,7,1769,63.93,21.59,14.48
2023,Johor,MY-01,Southern,9,2506,21,7066,46,6911,34,2393,22,1378,49,1693,303,9237,484,31184,30.7,22.16,47.14
2023,Kedah,MY-02,Northern,9,1587,13,2396,20,2882,21,1733,5,237,8,265,99,4054,175,13154,30.28,21.91,47.81
2023,Kelantan,MY-03,East Coast,1,298,4,779,8,733,9,581,4,121,23,643,42,1205,91,4360,24.7,16.81,58.49
2023,Melaka,MY-04,Southern,11,3613,13,3452,36,4703,22,932,12,546,36,992,47,3985,177,18223,38.77,25.81,35.42
2023,Negeri Sembilan,MY-05,Central,5,1879,8,2217,12,984,13,852,11,606,21,629,73,2369,143,9536,42.95,10.32,46.73
2023,Pahang,MY-06,East Coast,8,3014,17,4003,26,9828,19,1153,7,230,46,1333,180,6063,303,25624,27.38,38.35,34.27
2023,Perak,MY-08,Northern,3,500,11,2336,23,2866,30,1847,15,747,62,1816,186,6338,330,16450,17.24,17.42,65.34
2023,Perlis,MY-09,Northern,0,0,1,145,2,193,4,163,5,189,9,199,11,356,32,1245,11.65,15.5,72.85
2023,Pulau Pinang,MY-07,Northern,20,5248,30,7696,25,3040,19,1057,14,689,32,1466,104,4838,244,24034,53.86,12.65,33.49
2023,Sabah,MY-12,East Malaysia,11,4041,13,2725,46,4637,46,2669,31,1349,131,2994,138,5005,416,23420,28.89,19.8,51.31
2023,Sarawak,MY-13,East Malaysia,5,1449,20,4510,34,3826,17,1164,19,886,89,2353,202,6954,386,21142,28.19,18.1,53.71
2023,Selangor,MY-10,Central,19,6528,22,6265,35,5009,20,1053,4,424,26,979,82,4707,208,24965,51.24,20.06,28.7
2023,Terengganu,MY-11,East Coast,4,727,8,1082,25,2420,18,1012,7,250,47,1389,139,4259,248,11139,16.24,21.73,62.03
2023,W.P. Kuala Lumpur,MY-14,Central,36,14288,40,11860,37,8693,21,1898,17,1247,15,559,87,8632,253,47177,55.43,18.43,26.14
2023,W.P. Labuan,MY-15,East Malaysia,1,136,1,111,4,421,4,219,9,242,4,65,18,503,41,1697,14.56,24.81,60.63
2023,W.P. Putrajaya,MY-16,Central,3,678,3,1053,0,0,0,0,0,0,0,0,1,38,7,1769,97.85,0.0,2.15
2024,Johor,MY-01,Southern,9,2506,23,7607,47,7007,35,2543,22,1362,49,1709,303,9237,488,31971,31.63,21.92,46.45
2024,Kedah,MY-02,Northern,10,1814,12,2169,20,2882,21,1733,5,237,8,265,99,4054,175,13154,30.28,21.91,47.81
2024,Kelantan,MY-03,East Coast,1,298,7,881,11,720,13,794,7,225,27,715,25,727,91,4360,27.04,16.51,56.45
2024,Melaka,MY-04,Southern,11,3613,13,3497,36,4703,22,932,12,546,36,992,47,3985,177,18268,38.92,25.74,35.34
2024,Negeri Sembilan,MY-05,Central,5,1879,8,2217,12,984,14,900,11,606,21,629,74,2392,145,9607,42.64,10.24,47.12
2024,Pahang,MY-06,East Coast,8,3014,17,4003,27,10137,19,1153,7,230,46,1328,179,5759,303,25624,27.38,39.56,33.06
2024,Perak,MY-08,Northern,3,500,11,2336,23,2845,30,1847,15,747,62,1816,186,6338,330,16429,17.26,17.32,65.42
2024,Perlis,MY-09,Northern,0,0,1,145,2,193,4,163,5,215,9,199,11,370,32,1285,11.28,15.02,73.7
2024,Pulau Pinang,MY-07,Northern,21,5694,29,7603,29,3666,21,1450,13,443,31,1416,106,5117,250,25389,52.37,14.44,33.19
2024,Sabah,MY-12,East Malaysia,11,4041,15,3064,44,4298,47,2868,31,1349,131,2994,145,5715,424,24329,29.2,17.67,53.13
2024,Sarawak,MY-13,East Malaysia,7,2078,16,3793,36,4254,21,1594,20,936,88,2303,199,6236,387,21194,27.7,20.07,52.23
2024,Selangor,MY-10,Central,20,7762,23,6155,35,5009,20,1053,4,424,26,979,82,4707,210,26089,53.34,19.2,27.46
2024,Terengganu,MY-11,East Coast,5,947,9,1157,25,2473,18,1033,6,185,47,1389,140,4303,250,11487,18.32,21.53,60.15
2024,W.P. Kuala Lumpur,MY-14,Central,37,14636,42,12461,35,8092,21,1898,17,1247,15,559,87,8632,254,47525,57.02,17.03,25.95
2024,W.P. Labuan,MY-15,East Malaysia,1,136,1,111,4,421,5,251,7,193,5,82,18,503,41,1697,14.56,24.81,60.63
2024,W.P. Putrajaya,MY-16,Central,3,678,3,1053,0,0,0,0,0,0,0,0,1,38,7,1769,97.85,0.0,2.15
2025,Johor,MY-01,Southern,9,2530,23,7426,49,7513,44,2891,19,1236,43,1491,288,10681,496,33768,29.48,22.25,48.27
2025,Kedah,MY-02,Northern,12,2054,10,1858,22,3119,20,1636,5,237,8,265,102,4370,179,13539,28.89,23.04,48.07
2025,Kelantan,MY-03,East Coast,2,570,4,534,12,972,12,615,6,195,29,731,26,743,91,4360,25.32,22.29,52.39
2025,Melaka,MY-04,Southern,13,4363,13,4218,37,4770,23,1048,12,546,35,972,48,4633,181,20550,41.76,23.21,35.03
2025,Negeri Sembilan,MY-05,Central,5,1879,9,2607,19,3129,20,1809,11,606,21,629,75,2615,160,13274,33.8,23.57,42.63
2025,Pahang,MY-06,East Coast,8,3014,18,4364,28,10189,22,1255,7,230,47,1349,175,5636,305,26037,28.34,39.13,32.53
2025,Perak,MY-08,Northern,3,500,12,2431,29,3897,30,1847,15,747,63,2216,189,6543,341,18181,16.12,21.43,62.45
2025,Perlis,MY-09,Northern,0,0,1,145,3,241,4,163,5,203,9,199,11,370,33,1321,10.98,18.24,70.78
2025,Pulau Pinang,MY-07,Northern,20,5372,28,7503,33,4282,21,1450,13,443,31,1416,107,5137,253,25603,50.29,16.72,32.99
2025,Sabah,MY-12,East Malaysia,11,4041,18,3356,49,4779,48,2926,31,1345,130,2976,151,6269,438,25692,28.79,18.6,52.61
2025,Sarawak,MY-13,East Malaysia,7,2078,16,3793,37,4684,21,1594,20,936,87,2278,202,6702,390,22065,26.61,21.23,52.16
2025,Selangor,MY-10,Central,21,8322,22,5691,34,4829,21,1233,5,479,25,924,83,5303,211,26781,52.32,18.03,29.65
2025,Terengganu,MY-11,East Coast,5,947,11,1546,25,2473,18,1033,6,185,47,1389,139,4104,251,11677,21.35,21.18,57.47
2025,W.P. Kuala Lumpur,MY-14,Central,38,15556,43,13115,37,8402,20,1850,15,1058,13,492,89,9950,255,50423,56.86,16.66,26.48
2025,W.P. Labuan,MY-15,East Malaysia,2,208,1,111,6,547,5,251,6,156,5,82,18,503,43,1858,17.17,29.44,53.39
2025,W.P. Putrajaya,MY-16,Central,3,678,3,1053,0,0,0,0,0,0,0,0,1,38,7,1769,97.85,0.0,2.15
